date,spy_close,vix,hyg,dxy,gold,copper,eem,skew,composite_score,flow_regime,regime_signal,return_5d,return_10d,return_20d
2014-06-13,194.1300048828125,12.180000305175781,94.94999694824219,80.58000183105469,122.95999908447266,20.3700008392334,43.61000061035156,127.77999877929688,8,risk_on,STRONG_HOLD,0.93,0.87,1.79
2014-06-16,194.2899932861328,12.649999618530273,94.9000015258789,80.47000122070312,122.41999816894531,20.649999618530273,43.40999984741211,127.66999816894531,8,risk_on,STRONG_HOLD,0.82,0.74,1.51
2014-06-17,194.8300018310547,12.0600004196167,94.83000183105469,80.62999725341797,122.27999877929688,20.649999618530273,43.41999816894531,130.17999267578125,8,risk_on,STRONG_HOLD,-0.07,1.13,1.61
2014-06-18,196.25999450683594,10.609999656677246,95.26000213623047,80.58000183105469,122.66999816894531,20.649999618530273,43.900001525878906,129.52999877929688,8,risk_on,STRONG_HOLD,-0.35,0.49,-0.28
2014-06-19,196.47999572753906,10.619999885559082,95.23999786376953,80.31999969482422,126.94000244140625,20.719999313354492,43.650001525878906,138.61000061035156,8,risk_on,STRONG_HOLD,-0.53,0.88,0.63
2014-06-20,195.94000244140625,10.850000381469727,95.33000183105469,80.37000274658203,126.5,21.0,43.560001373291016,143.25999450683594,8,risk_on,STRONG_HOLD,-0.06,0.8,0.71
2014-06-23,195.8800048828125,10.979999542236328,95.31999969482422,80.26000213623047,126.8499984741211,21.219999313354492,43.470001220703125,139.41000366210938,8,risk_on,STRONG_HOLD,-0.08,0.18,1.18
2014-06-24,194.6999969482422,12.130000114440918,95.23999786376953,80.33000183105469,126.9800033569336,21.190000534057617,43.45000076293945,134.64999389648438,8,risk_on,STRONG_HOLD,1.2,1.24,2.02
2014-06-25,195.5800018310547,11.59000015258789,95.37999725341797,80.22000122070312,126.98999786376953,21.389999389648438,43.20000076293945,131.82000732421875,8,risk_on,STRONG_HOLD,0.84,0.39,1.57
2014-06-26,195.44000244140625,11.630000114440918,95.27999877929688,80.2300033569336,126.7300033569336,21.389999389648438,43.25,132.80999755859375,8,risk_on,STRONG_HOLD,1.41,0.6,1.17
2014-06-27,195.82000732421875,11.260000228881836,95.27999877929688,80.04000091552734,126.66000366210938,21.329999923706055,43.349998474121094,135.36000061035156,8,risk_on,STRONG_HOLD,0.86,0.91,1.01
2014-06-30,195.72000122070312,11.569999694824219,95.19999694824219,79.77999877929688,128.0399932861328,21.43000030517578,43.22999954223633,139.35000610351562,8,risk_on,STRONG_HOLD,0.27,0.77,0.63
2014-07-01,197.02999877929688,11.149999618530273,94.80999755859375,79.81999969482422,127.69999694824219,21.600000381469727,43.63999938964844,139.36000061035156,8,risk_on,STRONG_HOLD,0.05,0.47,-0.03
2014-07-02,197.22999572753906,10.819999694824219,94.87000274658203,79.95999908447266,127.69999694824219,22.100000381469727,43.900001525878906,140.3699951171875,8,risk_on,STRONG_HOLD,-0.45,-0.77,-2.1
2014-07-03,198.1999969482422,10.319999694824219,94.7300033569336,80.20999908447266,127.16000366210938,22.209999084472656,44.15999984741211,142.27999877929688,8,risk_on,STRONG_HOLD,-0.8,-0.25,-2.88
2014-07-07,197.50999450683594,11.329999923706055,94.66000366210938,80.22000122070312,127.0199966430664,22.059999465942383,44.130001068115234,137.75999450683594,8,risk_on,STRONG_HOLD,0.05,-0.09,-1.83
2014-07-08,196.24000549316406,11.979999542236328,94.68000030517578,80.18000030517578,127.06999969482422,22.079999923706055,43.93000030517578,134.1999969482422,8,risk_on,STRONG_HOLD,0.5,1.0,-2.16
2014-07-09,197.1199951171875,11.649999618530273,94.61000061035156,79.98999786376953,127.83999633789062,21.969999313354492,44.18000030517578,135.8000030517578,8,risk_on,STRONG_HOLD,0.43,0.77,-2.56
