date,ticker,spot_price,net_gex_b,vix,zero_gamma,call_wall,put_wall,peak_gex_strike,max_pain,pc_ratio,spy_200ma,spy_above_200ma,spy_rsi_14,vix_3m,vix_term_spread,vix_term_structure,skew_index,fear_score,bull_score,bear_score,score_label,qqq_spot,qqq_gex_b,qqq_fear_score,qqq_bear_score,qqq_bull_score,qqq_divergence,signal,l1_context,yield_10y,vix9d,vix9d_vix_ratio,gold,dxy,tlt,hyg,copper,oil,eem,xlre,flow_regime,flow_score,regime_signal,composite_score
2026-05-14,SPY,747.63,11.86,17.26,737.97,748.0,700.0,748.0,710.0,2.02,675.55,True,82.03,20.85,3.59,contango,139.32,1,7,,Positive regime — hold,719.79,,,,,Aligned — no divergence,GREEN Strong hold - GEX high vol suppressed,SPY above 200MA (uptrend intact) | RSI overbought (82.03) | VIX in contango (calm) | SKEW elevated (139.32) - tail hedging active,4.461,15.14,0.877,427.21,98.82,84.92,79.85,40.02,143.0,67.38,43.91,risk_on,4,,
2026-05-18,SPY,738.95,-5.0,17.82,738.98,745.0,738.0,738.0,715.0,2.17,676.6,True,73.15,20.92,3.1,contango,138.4,2,4,,Mild bull — neutral,705.88,,,,,Aligned — no divergence,AMBER Caution - neg GEX watch VIX,SPY above 200MA (uptrend intact) | RSI overbought (73.15) | VIX in contango (calm) | SKEW elevated (138.4) - tail hedging active,4.623,16.86,0.946,418.43,99.19,83.56,79.54,38.4,149.29,64.97,43.75,risk_on,4,,
2026-05-19,SPY,734.39,-7.85,18.06,738.43,745.0,730.0,730.0,715.0,2.20,677.16,True,67.57,21.12,3.06,contango,135.5,3,4,,Mild bull — neutral,701.53,,,,,Aligned — no divergence,RED Watch - GEX deeply neg VIX rising,SPY above 200MA (uptrend intact) | RSI neutral (67.57) | VIX in contango (calm) | SKEW elevated (135.5) - tail hedging active,4.667,16.64,0.921,411.5,99.33,83.02,79.35,37.63,152.96,64.26,43.94,risk_on,4,,
2026-05-21,SPY,744.16,6.63,16.76,739.65,745.0,730.0,743.0,715.0,2.06,678.29,True,67.52,20.0,3.24,contango,136.96,1,7,,Positive regime — hold,714.51,,,,,Aligned — no divergence,GREEN Hold - pos GEX vol controlled,SPY above 200MA (uptrend intact) | RSI neutral (67.52) | VIX in contango (calm) | SKEW elevated (136.96) - tail hedging active,4.586,14.08,0.84,416.99,99.26,84.22,79.9,38.58,142.54,66.03,44.5,risk_on,4,,
2026-05-22,SPY,743.96,13.28,16.70,742.58,745.0,730.0,745.0,720.0,1.97,678.85,True,71.84,20.03,3.33,contango,137.39,1,7,,Positive regime — hold,717.54,,,,,Aligned — no divergence,GREEN Strong hold - GEX high vol suppressed,SPY above 200MA (uptrend intact) | RSI overbought (71.84) | VIX in contango (calm) | SKEW elevated (137.39) - tail hedging active,4.558,14.07,0.843,413.82,99.24,84.68,79.91,38.92,140.92,65.88,44.56,risk_on,4,,
2026-05-26,SPY,750.34,11.35,17.01,742.09,755.0,730.0,750.0,720.0,2.0,679.44,True,71.48,19.89,2.88,contango,139.04,1,7,,Positive regime — hold,730.28,,,,,Aligned — no divergence,"GREEN Strong hold - GEX high, vol suppressed",SPY above 200MA (uptrend intact) | RSI overbought (71.48) | VIX in contango (calm) | SKEW elevated (139.04) - tail hedging active,4.493,14.84,0.872,414.0,99.17,85.1,80.18,39.03,137.0,68.4,44.71,risk_on,4,,
2026-05-27,SPY,750.92,11.37,17.01,741.61,755.0,730.0,750.0,720.0,2.0,680.01,True,65.84,19.45,3.16,contango,138.57,1,8,,Strong bull regime — hold,729.45,,,,,Aligned — no divergence,"GREEN Strong hold - GEX high, vol suppressed",SPY above 200MA (uptrend intact) | RSI neutral (65.84) | VIX in contango (calm) | SKEW elevated (138.57) - tail hedging active,4.481,13.27,0.78,408.49,99.21,85.3,80.13,38.48,131.03,68.39,44.63,risk_on,4,,
2026-05-28,SPY,755.23,12.02,15.74,747.59,760.0,730.0,755.0,724.0,1.96,680.6,True,71.16,19.11,3.37,contango,139.52,1,7,,Positive regime — hold,735.6,,,,,Aligned — no divergence,"GREEN Strong hold - GEX high, vol suppressed",SPY above 200MA (uptrend intact) | RSI overbought (71.16) | VIX in contango (calm) | SKEW elevated (139.52) - tail hedging active,4.455,12.98,0.825,412.77,99.02,85.74,80.23,39.06,130.78,68.61,44.41,risk_on,4,,
2026-05-29,SPY,755.45,10.09,15.32,751.26,757.0,730.0,757.0,726.0,2.04,681.17,True,68.77,18.66,3.34,contango,144.18,1,8,,Strong bull regime — hold,738.31,,,,,Aligned — no divergence,"GREEN Strong hold - GEX high, vol suppressed",SPY above 200MA (uptrend intact) | RSI neutral (68.77) | VIX in contango (calm) | SKEW elevated (144.18) - tail hedging active,4.453,12.59,0.822,417.12,98.91,85.76,80.31,38.86,129.09,68.6,43.99,risk_on,4,,
2026-06-01,SPY,757.78,7.08,16.05,752.04,760.0,740.0,760.0,726.0,2.04,681.74,True,69.0,19.43,3.38,contango,142.46,1,7,,Positive regime — hold,742.74,,,,,Aligned — no divergence,"GREEN Hold - pos GEX, vol controlled",SPY above 200MA (uptrend intact) | RSI neutral (69.0) | VIX in contango (calm) | SKEW elevated (142.46) - tail hedging active,4.475,13.76,0.857,411.26,99.2,85.47,79.84,39.96,135.5,70.08,43.27,risk_on,4,,
2026-06-02,SPY,759.87,10.76,15.77,753.89,760.0,740.0,760.0,729.0,2.02,682.31,True,71.17,19.49,3.72,contango,143.24,1,7,,Positive regime — hold,746.16,,,,,Aligned — no divergence,"GREEN Strong hold - GEX high, vol suppressed",SPY above 200MA (uptrend intact) | RSI overbought (71.17) | VIX in contango (calm) | SKEW elevated (143.24) - tail hedging active,4.455,13.19,0.836,411.95,99.22,85.65,79.9,40.6,137.27,70.8,43.49,risk_on,4,,
2026-06-03,SPY,750.41,-3.6,16.06,755.24,760.0,740.0,760.0,730.0,2.08,682.87,True,61.53,19.76,3.7,contango,136.86,2,5,,Mild bull — neutral,744.21,,,,,Aligned — no divergence,"AMBER Caution - neg GEX, watch VIX",SPY above 200MA (uptrend intact) | RSI neutral (61.53) | VIX in contango (calm) | SKEW elevated (136.86) - tail hedging active,4.491,13.41,0.835,407.87,99.53,85.31,79.68,39.42,140.86,69.92,43.51,risk_on,4,,
2026-06-04,SPY,756.05,7.0,15.4,753.86,757.0,740.0,757.0,730.0,2.02,683.44,True,59.15,19.23,3.83,contango,142.15,1,7,,Positive regime — hold,740.61,,,,,Aligned — no divergence,"GREEN Hold - pos GEX, vol controlled",SPY above 200MA (uptrend intact) | RSI neutral (59.15) | VIX in contango (calm) | SKEW elevated (142.15) - tail hedging active,4.477,12.65,0.821,411.27,99.41,85.5,79.83,39.73,136.74,69.1,44.4,risk_on,4,,
2026-06-05,SPY,735.34,-12.8,21.51,750.89,800.0,735.0,735.0,732.0,2.03,683.93,True,48.63,21.82,0.31,contango,152.25,5,3,,Moderate fear — monitor,705.06,,,,,Aligned — no divergence,RED EXIT - neg GEX + VIX elevated,SPY above 200MA (uptrend intact) | RSI neutral (48.63) | VIX in contango (calm) | SKEW elevated (152.25) - tail hedging active,4.536,23.92,1.112,396.24,100.07,85.06,79.43,38.08,133.02,64.59,44.7,mild_risk_on,2,,
2026-06-08,SPY,737.96,-8.7,18.92,747.79,800.0,735.0,735.0,730.0,2.03,684.43,True,50.47,20.79,1.87,contango,145.0,3,3,3,Mixed — no edge,716.07,,,,,Aligned — no divergence,"RED Watch - GEX deeply neg, VIX rising",SPY above 200MA (uptrend intact) | RSI neutral (50.47) | VIX in contango (calm) | SKEW elevated (145.0) - tail hedging active,4.552,19.69,1.041,397.27,100.05,84.62,79.54,38.55,135.15,65.75,44.03,risk_on,4,,
2026-06-09,SPY,735.65,-13.2,19.87,747.69,800.0,735.0,735.0,730.0,2.03,684.94,True,52.88,21.31,1.44,contango,141.97,4,3,4,Moderate fear — monitor,707.83,,,,,Aligned — no divergence,RED EXIT - neg GEX + VIX elevated,SPY above 200MA (uptrend intact) | RSI neutral (52.88) | VIX in contango (calm) | SKEW elevated (141.97) - tail hedging active,4.528,22.14,1.114,390.78,99.91,85.12,79.62,38.6,131.3,65.82,44.97,risk_on,4,,
2026-06-10,SPY,724.49,-18.8,22.22,745.99,800.0,720.0,725.0,727.0,2.01,685.34,True,37.19,22.89,0.67,contango,143.08,5,2,6,Moderate fear — monitor,693.69,,,,,Aligned — no divergence,RED EXIT - neg GEX + VIX elevated,SPY above 200MA (uptrend intact) | RSI neutral (37.19) | VIX in contango (calm) | SKEW elevated (143.08) - tail hedging active,4.542,25.67,1.155,374.58,99.95,84.88,79.47,37.72,134.3,64.66,44.99,mild_risk_on,2,,
