date,ticker,spot_price,rsi_14,ma_200,above_200ma,rsi_pct,iv_pct,pc_pct,iv_current,pc_ratio,gex_b,gex_regime,zero_gamma,call_wall,put_wall,opportunity_score,signal,signal_detail
2026-07-01,GOOGL,361.21,52.84,315.61,True,53.0,68,8.3,33.3,0.65,0.6794,positive,337.61,365.0,320.0,2,"NEUTRAL — no edge, wait","GEX positive — dealers providing support | Above 200MA — uptrend intact, dip is buyable"
2026-07-01,META,612.91,61.4,647.42,False,78.8,63,8.3,35.13,0.42,1.0,positive,528.79,750.0,550.0,1,AVOID — not oversold or fear is company-specific,"GEX positive — dealers providing support | Below 200MA — downtrend, scale in slowly"
2026-07-01,AMZN,241.7,52.72,232.93,True,54.5,63,8.3,32.91,0.62,0.722,positive,221.44,242.5,220.0,2,"NEUTRAL — no edge, wait","GEX positive — dealers providing support | Above 200MA — uptrend intact, dip is buyable"
2026-07-01,TSLA,425.3,66.42,418.69,True,89.4,10,16.7,43.57,0.67,1.6,positive,376.25,425.0,350.0,4,"WATCH — setup building, not quite ready","Options cheap (IV bottom 10% of own history) — good entry cost | GEX positive — dealers providing support | Above 200MA — uptrend intact, dip is buyable"
2026-07-02,AAPL,308.63,58.29,270.69,True,35.8,48,84.6,24.96,0.68,1.6,positive,261.88,310.0,240.0,4,"WATCH — setup building, not quite ready","Heavy put buying (P/C top 15% of history) — extreme fear, contrarian buy | GEX positive — dealers providing support | Above 200MA — uptrend intact, dip is buyable"
2026-07-02,MSFT,390.49,50.06,445.44,False,59.7,96,61.5,37.27,0.44,1.2,positive,349.44,400.0,350.0,2,"NEUTRAL — no edge, wait","Options expensive (IV top 4% of history) — fear priced in, wait | Elevated put buying (P/C 62th pct) | GEX positive — dealers providing support | Below 200MA — downtrend, scale in slowly"
2026-07-02,NVDA,194.83,40.42,191.03,True,22.4,7,100.0,35.54,0.81,0.5283,positive,185.99,195.0,180.0,7,"BUY — oversold, good loading zone","RSI oversold (bottom 22% of own history) | Options cheap (IV bottom 7% of own history) — good entry cost | Heavy put buying (P/C top 0% of history) — extreme fear, contrarian buy | GEX positive — dealers providing support | Above 200MA — uptrend intact, dip is buyable"
2026-07-02,GOOGL,359.91,51.26,316.15,True,50.7,68,15.4,33.3,0.65,1.1,positive,330.46,360.0,320.0,2,"NEUTRAL — no edge, wait","GEX positive — dealers providing support | Above 200MA — uptrend intact, dip is buyable"
2026-07-02,META,582.9,53.42,646.51,False,68.7,63,38.5,35.13,0.43,0.5765,positive,525.42,750.0,550.0,1,AVOID — not oversold or fear is company-specific,"GEX positive — dealers providing support | Below 200MA — downtrend, scale in slowly"
2026-07-02,AMZN,242.67,50.89,232.98,True,49.3,63,15.4,32.91,0.63,0.7296,positive,218.86,245.0,220.0,2,"NEUTRAL — no edge, wait","GEX positive — dealers providing support | Above 200MA — uptrend intact, dip is buyable"
2026-07-02,TSLA,393.45,48.07,418.61,False,46.3,10,38.5,43.57,0.69,0.2326,positive,370.95,395.0,390.0,3,"NEUTRAL — no edge, wait","Options cheap (IV bottom 10% of own history) — good entry cost | GEX positive — dealers providing support | Below 200MA — downtrend, scale in slowly"
